"""","調査産業計(日)","建設業(日)","製造業(日)","電気ｶﾞｽ_熱供給_水道業(日)","情報通信業(日)","運輸業,郵便業(日)","卸売業,小売業(日)","金融業,保険業(日)","不動産業,物品賃貸業(日)","学術研究,専門･技術ｻｰﾋﾞｽ業(日)","宿泊業,飲食ｻｰﾋﾞｽ業(日)","生活関連ｻｰﾋﾞｽ業,娯楽業(日)","教育，学習支援業(日)","医療，福祉(日)","複合ｻｰﾋﾞｽ事業(日)","サービス業（他に分類されないもの）(日)"
"平成20年(2008年)","20.2","21.0","20.3","19.8","19.4","20.9","21.0","18.9","…","…","…","…","19.4","18.7","19.9","…"
"平成21年(2009年)","19.3","21.1","19.4","19.3","19.9","20.2","19.7","18.7","…","…","…","…","18.0","18.9","18.8","…"
"平成22年(2010年)","19.5","21.8","19.9","19.4","20.8","20.7","19.8","18.9","21.0","20.3","17.7","19.7","18.1","18.6","18.6","19.5"
"平成23年(2011年)","19.4","21.5","19.9","19.6","20.5","20.7","19.9","19.0","20.4","19.3","16.2","19.3","17.9","18.9","18.8","19.8"
"平成24年(2012年)","19.8","20.9","20.4","19.2","20.6","20.6","20.2","19.2","19.8","19.3","17.3","19.4","19.2","19.3","18.7","20.2"
"平成25年(2013年)","19.4","21.3","20.4","18.8","20.1","20.6","19.1","18.7","19.5","19.7","17.0","18.7","19.1","19.0","18.9","19.9"
"","","","","","","","","","","","","","","","",""
"2013年 1月","18.1","18.9","17.6","18.1","19.1","20.1","18.3","17.9","17.9","18.4","16.8","20.8","17.8","17.5","17.4","18.5"
"2013年 2月","19.2","22.2","21.1","18.0","20.0","19.3","19.1","17.6","19.5","18.6","15.5","20.3","18.2","18.7","17.6","19.8"
"2013年 3月","18.8","21.3","19.8","18.6","19.2","19.7","18.3","18.3","18.9","19.0","16.3","17.5","19.0","18.3","18.4","19.1"
"","","","","","","","","","","","","","","","",""
"2013年 4月","20.1","22.0","21.7","20.1","20.6","20.7","19.8","18.8","20.2","19.9","17.0","20.3","20.9","19.4","19.6","20.7"
"2013年 5月","19.2","19.9","19.5","19.4","20.1","20.4","18.8","19.6","18.2","20.1","17.1","20.8","19.6","18.6","19.6","19.4"
"2013年 6月","20.0","22.0","21.8","19.2","20.8","20.7","20.0","19.0","20.0","18.6","17.1","19.9","19.4","19.4","18.9","20.3"
"","","","","","","","","","","","","","","","",""
"2013年 7月","19.9","22.3","20.8","20.5","21.1","21.0","19.3","19.9","20.0","20.7","17.0","17.8","20.0","19.9","20.4","20.4"
"2013年 8月","19.3","20.0","19.7","19.7","20.6","20.7","19.2","18.7","19.4","20.6","17.9","18.1","17.7","19.4","19.5","19.5"
"2013年 9月","19.5","21.9","20.7","18.0","20.3","20.6","19.3","18.0","20.1","20.5","17.7","17.9","18.4","19.0","17.9","20.1"
"","","","","","","","","","","","","","","","",""
"2013年10月","19.4","21.1","20.0","19.2","19.9","20.9","18.7","19.6","19.5","20.5","16.7","17.6","20.4","19.3","20.3","19.8"
"2013年11月","19.8","22.2","21.5","17.9","19.9","21.3","19.4","18.5","20.5","20.3","17.4","17.5","19.0","19.5","18.3","20.3"
"2013年12月","19.5","21.3","20.9","17.1","19.1","21.9","19.1","18.8","19.7","19.5","17.5","17.2","18.1","19.0","18.9","20.3"
